Title,Description
EditHistoryTests.NewHistory_HasNothingToUndoOrRedo,"A new undo history reports nothing to undo or redo, has no labels, and refuses both operations."
EditHistoryTests.Undo_RestoresStateBeforeEdit_AndRedoReturnsToCurrent,"Undo hands back the state from before the edit with its label, and redo returns to the state that was current at undo time."
EditHistoryTests.Undo_WalksBackInOrder,Repeated undos restore earlier states newest-first with the matching labels.
EditHistoryTests.Push_DiscardsRedoBranch,"Recording a new edit after an undo throws away the redo step."
EditHistoryTests.DiscardIfUnchanged_DropsOnlyAMatchingTopEntry,"An unchanged edit is dropped only when the newest undo entry matches the current state; older entries are never compared or removed."
EditHistoryTests.Push_BeyondCapacity_DropsOldestEntries,"Past the 200-step limit the oldest undo step is evicted, so exactly 200 undos are possible and the very first state is gone."
EditHistoryTests.Clear_EmptiesBothStacks,Clearing the history removes all undo and redo steps.
EditorSessionTests.NewSession_IsCleanWithNoHistory,"Opening a level gives the right name and rooms, no unsaved changes, no undo/redo, and no selection."
EditorSessionTests.Edit_MarksDirty_AndUndoingItClearsDirty,"Adding a room marks the level as unsaved with an ""Add Room"" undo label; undoing removes the room, clears the unsaved flag, enables redo and shows an ""Undo Add Room"" notice."
EditorSessionTests.Redo_ReappliesTheEdit,"Redo puts an undone room back in the same place, marks the level unsaved again and shows a ""Redo Add Room"" notice."
EditorSessionTests.UndoAndRedo_WithNothingRecorded_ReturnFalse,Undo and redo with an empty history do nothing and show no notice.
EditorSessionTests.NewEdit_AfterUndo_DiscardsRedo,Making a new edit after an undo removes the ability to redo.
EditorSessionTests.MultipleEdits_UndoInReverseOrder,"Moving the vacuum start, removing a wall and renaming a room undo one at a time in reverse order, ending with no unsaved changes."
EditorSessionTests.CheckpointWithoutAChange_LeavesNoUndoStep,"Starting an edit (e.g. grabbing a point) and finishing it without changing anything leaves no undo step and no unsaved changes."
EditorSessionTests.LiveDrag_IsOneUndoStep_AndOnlyRaisesLiveChangesUntilCommit,"Dragging the wall thickness slider sends live updates while dragging, one final update on release, and undoes as a single step."
EditorSessionTests.Edit_RaisesLevelAndDocumentChanged,A normal edit notifies the UI exactly once that the level changed and once that the document changed.
EditorSessionTests.Save_WritesTheLevel_AndClearsDirty,"Saving writes the level (with its new name and rooms) to its file and clears the unsaved flag."
EditorSessionTests.Undo_PastASave_MarksDirtyAgain,"Undoing past a save marks the level unsaved; redoing back to the saved state clears the flag."
EditorSessionTests.Rename_TrimsInput_AndIgnoresBlankOrUnchanged,"Renaming the level trims spaces, ignores blank, null or unchanged names, and records only real renames for undo."
EditorSessionTests.SelectRoom_InvalidIndex_ClearsSelection,Selecting a room that doesn't exist clears the selection instead of keeping a bad index.
EditorSessionTests.SelectionChanged_OnlyFiresOnActualChange,Selecting the same room twice or clearing an empty selection doesn't send extra selection-changed notifications.
EditorSessionTests.SelectingADoorway_DeselectsTheRoom_AndViceVersa,"A room and a doorway can't be selected at the same time; selecting one deselects the other."
EditorSessionTests.Undo_DropsASelectionThatNoLongerExists,"Undoing the addition of the selected room clears the selection so it doesn't point at a missing room."
EditorSessionTests.ToolChanged_FiresOncePerChange,Switching tools notifies once; choosing the tool that is already active does not.
EditorSessionTests.Options_ClampAndNotify,"Editor options clamp bad values (negative floor index, zero snap increment) and only notify when a value actually changes."
EditorSessionTests.AddRoom_UsesCurrentFloorAndWallDefaults_AndSelectsIt,"A new room uses the current floor covering and the ""new rooms have walls"" setting, gets the next room name, and becomes selected."
EditorSessionTests.AddRoom_SkipsNamesAlreadyInUse,"Automatic room names skip any ""Room N"" name already taken by another room."
EditorSessionTests.DeleteRoom_RemovesItsDoorways_AndUndoBringsThemBack,"Deleting a room also deletes its doorways, renumbers the remaining ones, clears the selection and shows a notice; undo restores the room and all doorways."
EditorSessionTests.DeleteRoom_InvalidIndex_RecordsNothing,Deleting a room that doesn't exist does nothing: no undo step and no notice.
EditorSessionTests.DuplicateRoom_PlacesACopyBesideTheOriginal,"Duplicating a room places a selected ""copy"" just to the right of the original, keeps its deleted walls, and doesn't share its outline data."
EditorSessionTests.SetRoomFloor_ChangesCovering_AndBecomesThePaintFloor,"Changing a room's floor covering is undoable and becomes the covering for the next new room; picking the covering it already has records nothing."
EditorSessionTests.SetWall_RemovesAndRestoresOneWall,"A single wall can be removed and restored with matching undo labels; removing an already-removed wall records nothing."
EditorSessionTests.SetAllWalls_TogglesEveryEdge,Removing or adding all walls affects every edge of the room.
EditorSessionTests.InsertVertex_KeepsWallFlagsOnTheRightEdges,"Adding a corner to a room keeps deleted walls on the correct edges, and undo restores the original corners and walls."
EditorSessionTests.RemoveVertex_StopsAtATriangle,A room can't lose corners below three; the refused removal isn't recorded for undo.
EditorSessionTests.PlaceDoorway_NearAWall_SnapsOntoIt,"Clicking near an outer wall snaps a default-width doorway onto it, links it to that room and ""Outside"", and selects it."
EditorSessionTests.PlaceDoorway_AwayFromWalls_IsRefused,"Clicking far from any wall places no doorway, records nothing, and tells the user to click on a wall."
EditorSessionTests.PlaceDoorway_OnASharedWall_LinksBothRooms,A doorway placed on a wall shared by two rooms links both of those rooms.
EditorSessionTests.MoveDoorwayLive_RelinksToTheNewWall_WithoutRecordingHistory,"Dragging a doorway onto a different shared wall relinks it to the rooms on that wall, without adding undo steps mid-drag."
EditorSessionTests.MoveDoorwayLive_OffEveryWall_KeepsItsLinks,Dragging a doorway away from every wall moves it but keeps its existing room links.
EditorSessionTests.SetDoorwayWidthLive_ClampsToSensibleWidths,Doorway width is clamped between the minimum and maximum allowed widths.
EditorSessionTests.DeleteSelection_RemovesTheSelectedDoorway,"Delete with a doorway selected removes it, clears the selection and records a ""Delete Doorway"" undo step."
EditorSessionTests.WallStrokes_CanBeDrawnFoundAndDeleted,"Free-standing walls can be drawn, clicked on (hit-tested) and deleted; deleting an invalid index is ignored and delete is undoable."
EditorSessionTests.SetWallColor_SameColour_RecordsNothing,"Setting the wall colour to its current value records nothing; a new colour applies and is undoable."
EditorSessionTests.Snap_RoundsToTheGrid,"With corner snapping off, points round to the nearest grid step, including negative coordinates."
EditorSessionTests.Snap_PrefersANearbyCornerOverTheGrid,A point close to an existing room corner snaps to that corner instead of the grid.
EditorSessionTests.Snap_CornerReachScalesWithZoom,"Corner snapping reach is measured in screen pixels: a corner too far away when zoomed in is in reach when zoomed out."
EditorSessionTests.Snap_IgnoresTheCornerBeingDragged,"While dragging a corner (or a whole room), snapping ignores that corner (or room) but still snaps to other corners."
EditorSessionTests.Snap_WithEverythingOff_ReturnsThePoint,With grid and corner snapping both off the point is returned unchanged.
EditorSessionTests.FindVertex_ReturnsTheClosestCornerWithinTolerance,"Clicking finds the nearest room corner within the tolerance, and returns nothing when too far away or for a missing room."
EditorSessionTests.TryFindEdge_ProjectsOntoTheNearestEdge,"Clicking near a room edge finds that edge and the closest point on it; nothing is found far from edges or for a missing room."
EditorSessionTests.TryFindAnyEdge_SearchesEveryRoom,Edge hit-testing across the whole level finds the right room and edge in rooms other than the first.
EditorSessionTests.NearestWall_GivesDistanceAndDirection,Returns the distance to the closest wall and that wall's direction.
EditorSessionTests.FindDoorway_WithinTolerance,"Clicking near a doorway finds it; clicking elsewhere finds nothing."
EditorSessionTests.Validate_SampleApartment_IsClean,The built-in sample apartment produces no validation issues.
EditorSessionTests.Validate_EmptyLevel_PromptsForARoom,"An empty level gives exactly one warning: ""Draw a room to get started."""
EditorSessionTests.Validate_SelfCrossingRoom_IsAnError,A room whose outline crosses itself is reported as an error on that room.
EditorSessionTests.Validate_RoomWithTooFewCorners_IsAnError,A room with fewer than 3 corners is reported as an error on that room.
EditorSessionTests.Validate_SpawnOutsideEveryRoom_Warns,A vacuum start point outside every room gives a warning.
EditorSessionTests.Validate_RoomWithNoDoorwayPath_Warns,A room the vacuum can't reach through doorways gives a warning naming that room.
EditorSessionTests.Validate_DoorwayNotOnAWall_Warns,A doorway that isn't on any wall gives a warning that it opens nothing.
LevelDataTests.GetRoom_OutOfRange_IsNull,Looking up a room by an out-of-range index returns null instead of throwing.
LevelDataTests.RoomIndexAt_FindsContainingRoom_LaterRoomsWinOverlaps,"Finds which room contains a point (or none when outside), and where rooms overlap the later room wins."
LevelDataTests.ReachableFrom_FollowsDoorways,"Walking through doorways reaches every connected room from any starting room, and nothing from an invalid room."
LevelDataTests.UnreachableRooms_ListsRoomsCutOffFromSpawn,Removing the only doorway to a room makes it show up as unreachable from the vacuum start.
LevelDataTests.UnreachableRooms_IsEmpty_WhenSpawnIsOutside,"When the vacuum starts outside every room, no rooms are listed as unreachable (a separate warning covers that case)."
LevelDataTests.NeighboursOf_IgnoresDoorwaysToOutside,Doorways leading outside aren't counted as connections to another room.
LevelDataTests.RemoveRoom_DropsItsDoorways_AndReindexesTheRest,Removing a room deletes its doorways and renumbers the room links on the remaining doorways.
LevelDataTests.RemoveRoom_OutOfRange_DoesNothing,Removing a room with an invalid index leaves rooms and doorways unchanged.
